"","population","fertilisation","nLeaves1","LongestLeaf1","Glucosinolates1","HsGlucosinolates1","nPathogenSpots1","nHerbivores1","HsHerbivores1","LeafHerbivory1Cons","nPredators1","status"
"1","01AL","high",21,31.2,30.004,0.845,21,43,2.112,65,18,"native"
"2","01AL","low",15,25.2,28.903,0.904,21,25,1.811,35,5,"native"
"3","01AL","high",26,19.4,26.236,0.795,4,22,2.237,33,2,"native"
"4","01AL","high",36,20.5,30.678,0.637,13,14,1.673,70,5,"native"
"5","01AL","low",24,31.3,35.294,1.095,20,59,1.369,2,7,"native"
"6","01AL","high",33,26,44.584,0.754,11,24,1.625,38,15,"native"
"7","01AL","low",22,32.7,32.578,1.13,23,58,1.55,30,6,"native"
"8","01AL","high",22,29.6,20.115,0.519,24,46,1.932,41,11,"native"
"9","02T3","high",19,18.3,40.769,1.571,11,15,1.934,1,7,"native"
"10","02T3","low",22,17.9,52.291,0.759,15,34,1.715,5,9,"native"
"11","02T3","low",31,22.5,52.291,0.759,20,23,1.832,40,4,"native"
"12","02T3","low",31,13.9,38.366,1.669,2,21,1.857,12,2,"native"
"13","02T3","high",29,17.5,25.283,1.437,19,16,1.386,30,9,"native"
"14","02T3","low",26,24.9,24.855,1.703,20,26,1.718,74,6,"native"
"15","02T3","high",30,27.1,66.542,1.359,11,29,1.951,23,3,"native"
"16","02T3","low",24,21.4,30.289,1.525,24,15,1.523,16,4,"native"
"17","02T3","high",33,31.5,50.359,1.501,11,11,2.098,24,4,"native"
"18","02T3","low",26,21.4,98.666,1.76,14,39,2.142,19,5,"native"
"19","03T4","high",25,20,43.776,1.746,7,26,1.392,8,7,"native"
"20","03T4","low",18,19.2,74.063,1.356,3,16,1.16,7,2,"native"
"21","03T4","high",38,23.6,65.268,1.48,3,23,1.911,100,2,"native"
"22","03T4","low",19,24.8,31.126,1.435,2,32,1.775,28,4,"native"
"23","03T4","high",24,23.9,23.033,1.711,9,22,1.363,41,7,"native"
"24","03T4","low",21,27.2,84.313,1.435,2,22,1.547,80,11,"native"
"25","03T4","high",26,28.9,31.126,1.76,15,23,2.148,19,13,"native"
"26","03T4","high",35,24.2,47.725,1.378,12,33,1.849,8,21,"native"
"27","03T4","low",16,18.5,81.457,1.256,3,16,1.927,30,3,"native"
"28","03T4","high",23,25.2,41.953,1.422,25,28,1.398,27,2,"native"
"29","03T4","low",24,12.1,49.19,1.691,7,25,1.649,5,4,"native"
"30",NA,"low",12,19.9,90.748,1.045,9,20,1.371,21,14,"native"
"31",NA,"high",20,27.6,68.852,1.124,40,29,1.621,67,24,"native"
"32",NA,"low",18,28.1,33.625,1.359,9,35,1.636,55,9,"native"
"33",NA,"high",16,22.6,31.463,0.988,9,26,1.482,70,3,"native"
"34",NA,"low",18,28.1,45.675,1.3,9,43,1.386,20,11,"native"
"35",NA,"high",21,35.1,65.56,1.359,21,68,1.388,142,16,"native"
"36",NA,"low",26,19,43.292,1.322,11,26,1.63,12,6,"native"
"37",NA,"high",25,34.7,33.625,0.833,15,44,1.62,79,14,"native"
"38",NA,"low",20,22.5,69.297,1.223,23,21,1.588,30,11,"native"
"39",NA,"high",21,25.7,20.717,0.672,9,43,1.597,36,7,"native"
"40","05LT","high",18,27,70.237,1.253,6,27,1.581,13,9,"invasive"
"41","05LT","low",17,23.7,35.7,1.029,8,31,2.008,30,6,"invasive"
"42","05LT","high",19,30.1,23.846,1.461,23,28,1.226,8,19,"invasive"
"43","05LT","low",27,23.6,23.789,1.19,4,45,2.007,33,10,"invasive"
"44","05LT","high",22,28.5,55.633,1.482,27,43,1.131,33,6,"invasive"
"45","05LT","low",17,21.4,36.988,1.19,36,20,1.278,0,7,"invasive"
"46","05LT","low",17,19.9,39.117,0.928,18,15,1.171,2,10,"invasive"
"47","05LT","high",27,25.5,24.649,1.082,19,46,0.966,95,5,"invasive"
"48","05LT","low",20,33,25.29,1.187,7,45,1.42,258,10,"invasive"
"49","06CB","high",48,19.1,18.723,1.216,69,28,1.566,45,2,"invasive"
"50","06CB","low",37,19.1,26.997,0.654,42,25,1.804,8,19,"invasive"
"51","06CB","high",18,27.8,33.294,1.14,30,33,1.874,20,18,"invasive"
"52","06CB","low",25,20.6,55.239,0.954,35,24,1.977,77,6,"invasive"
"53","06CB","high",18,26.3,18.723,1.216,8,37,1.974,5,5,"invasive"
"54","06CB","low",24,22,38.054,1.188,40,26,1.546,20,10,"invasive"
"55","06CB","high",39,30.5,39.849,1.145,22,58,1.986,34,12,"invasive"
"56","06CB","low",36,23.8,89.858,1.065,29,24,1.655,57,6,"invasive"
"57","06CB","high",14,27.3,55.782,1.115,30,50,1.027,57,5,"invasive"
"58","06CB","low",27,23.7,50.106,1.412,30,57,1.62,15,16,"invasive"
"59","07JE","high",33,27.5,40.71,1.189,72,26,1.774,240,16,"invasive"
"60","07JE","low",24,21,53.893,0.709,18,28,2.035,202,12,"invasive"
"61","07JE","high",22,22.9,40.8,1.044,6,24,1.91,52,2,"invasive"
"62","07JE","low",23,27.2,55.961,1.11,17,28,1.637,32,7,"invasive"
"63","07JE","low",28,28.5,40.71,1.189,25,25,2.065,11,10,"invasive"
"64","07JE","high",33,27.6,56.985,1.19,35,32,1.792,19,12,"invasive"
"65","07JE","low",18,20.4,41.12,0.356,9,25,1.759,10,5,"invasive"
"66","07JE","low",19,22.8,70.231,1.032,44,19,1.512,14,3,"invasive"
"67","07JE","high",21,30.7,34.987,0.839,61,30,1.72,25,8,"invasive"
"68","07JE","low",14,20.6,53.375,1.308,9,22,1.199,37,5,"invasive"
"69","08WU","high",22,25.1,80.86,1.144,17,10,1.973,2,9,"invasive"
"70","08WU","low",22,17.1,55.377,1.074,24,18,1.351,155,3,"invasive"
"71","08WU","low",18,30.8,67.725,0.998,20,38,2.273,58,7,"invasive"
"72","08WU","high",23,29.5,49.213,1.235,3,36,1.89,23,18,"invasive"
"73","08WU","low",19,31,23.658,1.435,21,103,1.097,167,24,"invasive"
"74","08WU","high",26,30.1,35.92,1.263,20,51,1.548,29,17,"invasive"
"75","08WU","low",28,36.2,47.269,1.392,10,39,1.617,113,15,"invasive"
"76","08WU","low",22,32.2,26.851,1.407,25,45,1.555,37,17,"invasive"
"77","08WU","high",25,31.8,5.084,0.803,39,60,1.735,23,11,"invasive"
"78","08WU","low",22,31.2,80.658,1.2,36,49,1.736,103,10,"invasive"
"79","09DR","high",20,28.3,44.477,0.759,6,32,1.738,161,5,"naturalised"
"80","09DR","low",15,24.6,33.863,0.378,7,40,1.359,25,11,"naturalised"
"81","09DR","high",26,33.2,16.545,1.13,13,23,1.81,134,22,"naturalised"
"82","09DR","low",21,23.5,31.107,1.133,7,26,1.797,34,6,"naturalised"
"83","09DR","high",24,22.3,11.505,0.731,10,25,1.822,25,13,"naturalised"
"84","09DR","low",21,32.1,65.186,1.203,8,28,1.718,51,10,"naturalised"
"85","09DR","high",23,27,43.174,0.811,9,42,1.467,10,10,"naturalised"
"86","10DI","high",34,23.4,73.195,1.063,33,36,1.561,20,12,"naturalised"
"87","10DI","low",16,22.3,49.939,0.826,3,38,0.82,8,17,"naturalised"
"88","10DI","high",18,28,69.832,1.12,17,31,1.638,16,11,"naturalised"
"89","10DI","high",19,30.6,44.552,1.081,9,38,1.433,34,23,"naturalised"
"90","10DI","low",18,27.6,45.991,1.05,11,78,1.442,19,25,"naturalised"
"91","10DI","high",24,28.7,34.188,1.124,15,56,1.486,5,34,"naturalised"
"92","10DI","low",22,26.1,32.68,0.759,23,35,1.084,35,13,"naturalised"
"93","10DI","low",14,27.7,35.059,0.993,34,62,1.455,0,25,"naturalised"
"94","10DI","low",22,27,45.311,1.009,13,38,1.155,56,33,"naturalised"
"95","11GO","high",19,30.1,50.349,1.071,41,28,1.968,221,4,"naturalised"
"96","11GO","low",12,12.4,37.666,0.846,5,7,0.956,2,10,"naturalised"
"97","11GO","high",21,23.2,22.606,1.038,27,19,2.16,100,7,"naturalised"
"98","11GO","low",21,30.4,34.748,0.969,32,34,2.354,258,20,"naturalised"
"99","11GO","high",22,25.6,40.77,1.245,15,44,1.464,210,16,"naturalised"
"100","11GO","low",25,29,48.84,1.223,44,49,1.652,239,17,"naturalised"
"101","11GO","high",21,27.8,20.408,1.114,16,47,1.179,19,14,"naturalised"
"102","11GO","low",28,34.1,27.536,1.211,28,55,1.333,160,8,"naturalised"
"103","11GO","high",28,25.4,23.484,1.249,26,29,1.789,15,1,"naturalised"
"104","11GO","high",26,31,63.335,1.173,28,56,1.365,21,6,"naturalised"
"105","11GO","low",14,23.5,57.188,1.136,16,46,1.49,37,3,"naturalised"
"106","12PA","high",17,29.6,54.234,1.103,14,42,1.227,224,9,"naturalised"
"107","12PA","low",17,22.5,45.896,1.301,24,25,1.622,2,7,"naturalised"
"108","12PA","high",22,27.1,61.45,1.184,9,36,2.259,272,5,"naturalised"
"109","12PA","low",11,18.7,24.787,0.278,3,14,1.73,6,10,"naturalised"
"110","12PA","high",26,22.8,14.733,1.461,6,18,1.725,7,13,"naturalised"
"111","12PA","low",37,20.1,19.592,1.574,5,12,1.633,4,5,"naturalised"
"112","12PA","high",22,27.9,36.053,1.536,17,38,1.306,103,18,"naturalised"
"113","12PA","low",14,24.7,13.736,0.914,9,35,1.179,8,8,"naturalised"
"114","12PA","high",21,31.1,32.02,1.815,7,60,1.735,52,21,"naturalised"
"115","12PA","low",17,25.5,22.865,0.556,11,15,1.507,52,2,"naturalised"
"116","12PA","high",15,26.4,33.727,0.763,49,33,1.085,93,8,"naturalised"
"117","12PA","low",22,30.8,38.435,0.916,23,49,1.712,590,3,"naturalised"
